Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
194,P.J. Tucker,SF,39,NYK,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
195,Myles Turner,C,28,IND,23,23,29.3,4.6,9.5,0.484,1.3,3.9,0.344,3.3,5.6,0.581,0.555,3.2,4.2,0.771,1.2,3.6,4.8,1.4,0.5,2,1.7,3,13.8
196,Hunter Tyson,PF,24,DEN,5,0,6,1,2,0.5,0.2,1,0.2,0.8,1,0.8,0.55,0.8,0.8,1,0.8,0.8,1.6,0.4,0.2,0,0.2,0.6,3
197,Jaylon Tyson,SG,22,CLE,4,0,7.8,1.8,3.8,0.467,1.3,2.3,0.556,0.5,1.5,0.333,0.633,1.3,1.5,0.833,0.8,1,1.8,1.8,0.5,0.3,0.5,1,6
198,Jarred Vanderbilt,PF,25,LAL,5,0,12,0.4,1.2,0.333,0,0.2,0,0.4,1,0.4,0.333,0.6,0.8,0.75,0.8,3,3.8,1,0.6,0.2,0.6,1.8,1.4
199,Fred VanVleet,PG,30,HOU,7,7,40,5.7,13.3,0.43,3.9,8.9,0.435,1.9,4.4,0.419,0.575,3.4,3.4,1,0.4,3.7,4.1,4.4,1,0.3,1.9,2.3,18.7
200,Gabe Vincent,PG,28,LAL,5,0,19.8,1,2.8,0.357,0.8,2.6,0.308,0.2,0.2,1,0.5,0,0,,0,1,1,1,0.2,0.4,0.2,1.6,2.8
201,Dean Wade,PF,28,CLE,9,1,15.8,0.7,2,0.333,0.3,1.6,0.214,0.3,0.4,0.75,0.417,0,0,,1.1,3.1,4.2,0.7,0.3,0.1,0.3,1.1,1.7
202,Franz Wagner,SF,23,ORL,5,5,39,10.2,23,0.443,1.4,7.4,0.189,8.8,15.6,0.564,0.474,4,5.2,0.769,0.6,4.2,4.8,5.6,1.2,0.4,2,3.2,25.8
203,Jarace Walker,PF,21,IND,12,0,9.8,1.1,2.8,0.382,0.7,1.7,0.4,0.4,1.2,0.357,0.5,0.2,0.3,0.5,0.2,1.6,1.8,0.7,0.2,0.2,0.6,0.8,3
204,Cason Wallace,SG,21,OKC,23,3,22.4,2.2,5.2,0.429,0.9,2.7,0.323,1.3,2.5,0.544,0.513,0.3,0.4,0.667,1,1.7,2.7,2.1,1.4,0.4,0.7,2.2,5.6
205,Jordan Walsh,PF,20,BOS,5,0,3,0,0.2,0,0,0.2,0,0,0,,0,0,0,,0,0.2,0.2,0.2,0,0,0,0,0
206,Kel'el Ware,C,20,MIA,4,4,18.3,2,4.5,0.444,0.8,2.8,0.273,1.3,1.8,0.714,0.528,0,0,,1,3.8,4.8,1,0.3,0.5,0.5,0.8,4.8
207,Peyton Watson,SF,22,DEN,14,0,14.2,1.7,4.2,0.407,0.5,1.4,0.368,1.2,2.9,0.425,0.466,0.6,1.1,0.5,1,1.9,2.9,0.3,0.8,0.6,0.6,1.5,4.5
208,Russell Westbrook,PG,36,DEN,13,0,24.1,4,10.2,0.391,1.5,4.8,0.317,2.5,5.4,0.457,0.466,2.2,3.1,0.7,1.5,2.2,3.7,2.6,0.9,0.1,2.3,3.2,11.7
209,Derrick White,SG,30,BOS,11,11,37.7,6.2,13.4,0.463,3.6,9.5,0.385,2.5,3.9,0.651,0.599,2.8,3.3,0.861,1.3,3.8,5.1,3.5,0.6,1.1,1.2,2,18.8
210,Cam Whitmore,SF,20,HOU,3,0,1.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.3,0.3,0,0,0,0,0,0
211,Aaron Wiggins,SG,26,OKC,22,0,13.8,2.1,5.4,0.395,1.1,3.1,0.362,1,2.3,0.44,0.5,0.6,0.8,0.765,0.6,1.6,2.3,0.9,0.5,0.3,0.8,1,6
212,Andrew Wiggins,SF,29,MIA,4,4,30.5,4,10.8,0.372,1.8,5,0.35,2.3,5.8,0.391,0.453,1.8,2.5,0.7,1,2.3,3.3,2.3,0.3,1.3,2.8,1.5,11.5
213,Jalen Williams,SG,23,OKC,23,23,34.6,7.7,17.2,0.449,1.5,5,0.304,6.2,12.2,0.509,0.494,4.4,5.6,0.789,1,4.5,5.5,4.8,1.4,0.4,1.8,2.2,21.4
214,Jaylin Williams,PF,22,OKC,17,0,8.3,0.9,2.1,0.429,0.5,1.5,0.36,0.4,0.6,0.6,0.557,0.4,0.6,0.545,0.2,1.6,1.9,1,0.5,0.1,0.7,1.8,2.6
215,Kenrich Williams,PF,30,OKC,16,0,8.6,1,2.5,0.4,0.3,1.3,0.2,0.8,1.3,0.6,0.45,0.2,0.4,0.5,0.5,1.7,2.2,0.4,0.4,0.1,0.4,0.4,2.4
216,Nate Williams,SG,25,HOU,3,0,1.7,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0.3,0.3,0
217,Vince Williams Jr.,SG,24,MEM,3,0,12.7,1.3,2.3,0.571,1.3,2.3,0.571,0,0,,0.857,0.7,0.7,1,0.3,2,2.3,1.3,0.7,0.3,1,1,4.7
218,Delon Wright,PG,32,NYK,6,0,8,0.3,1.5,0.222,0.2,1,0.167,0.2,0.5,0.333,0.278,0.3,0.3,1,0.2,0.2,0.3,0.8,0.5,0.2,0.2,0,1.2
219,Ivica Zubac,C,27,LAC,7,7,36.6,7.7,11.7,0.659,0,0,,7.7,11.7,0.659,0.659,2,3.7,0.538,3.9,6.3,10.1,2.3,0.7,1,1.6,2.7,17.4
